species_name,Bifidobacterium bifidum,Bifidobacterium longum,Adlercreutzia equolifaciens,Collinsella aerofaciens,Gordonibacter pamelaeae,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides clarus,Bacteroides dorei,Bacteroides eggerthii,Bacteroides faecis,Bacteroides finegoldii,Bacteroides fragilis,Bacteroides intestinalis,Bacteroides massiliensis,Bacteroides nordii,Bacteroides ovatus,Bacteroides salyersiae,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bacteroides vulgatus,Bacteroides xylanisolvens,Bacteroidales bacterium,Barnesiella intestinihominis,Coprobacter fastidiosus,Odoribacter splanchnicus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides johnsonii,Parabacteroides merdae,Paraprevotella clara,Paraprevotella xylaniphila,Prevotella copri,Alistipes finegoldii,Alistipes indistinctus,Alistipes onderdonkii,Alistipes putredinis,Alistipes senegalensis,Alistipes shahii,Alistipes sp,Streptococcus salivarius,Clostridium bolteae,Clostridium leptum,Flavonifractor plautii,Pseudoflavonifractor capillosus,Eubacterium eligens,Eubacterium hallii,Eubacterium ramulus,Eubacterium rectale,Eubacterium siraeum,Eubacterium ventriosum,Ruminococcus gnavus,Ruminococcus obeum,Ruminococcus torques,Coprococcus catus,Coprococcus comes,Dorea formicigenerans,Dorea longicatena,Lachnospiraceae bacterium,Roseburia hominis,Roseburia intestinalis,Roseburia inulinivorans,Anaerotruncus colihominis,Faecalibacterium prausnitzii,Ruminococcaceae bacterium,Ruminococcus albus,Ruminococcus bromii,Ruminococcus callidus,Ruminococcus lactaris,Holdemania filiformis,Dialister invisus,Veillonella parvula,Burkholderiales bacterium,Oxalobacter formigenes,Parasutterella excrementihominis,Sutterella wadsworthensis,Bilophila wadsworthia,Desulfovibrio desulfuricans,Escherichia coli,Haemophilus parainfluenzae,Akkermansia muciniphila,after Mapping
Bifidobacterium bifidum,817,255,0,0,0,0,0,0,1,0,0,0,16,0,0,0,1,0,0,2,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,1,0,5,0,0,3,2,2,0,1,0,0,1,0,1,0,0,5,0,0,2,0,1,0,0,1,0,0,0,0,0,0,107,0,3,Bifidobacterium
Bifidobacterium longum,0,1270,0,1,0,3,0,0,0,0,1,1,32,0,0,0,6,0,1,18,2,18,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,12,0,7,0,0,0,2,0,12,0,0,3,4,1,0,0,0,1,1,1,3,1,0,10,0,2,2,2,0,0,1,2,0,0,0,1,3,1,158,0,5,Bifidobacterium bifidum
Adlercreutzia equolifaciens,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bifidobacterium longum
Collinsella aerofaciens,0,0,0,26,1,1,0,0,0,0,0,1,2,0,0,0,2,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,2,0,4,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,1,3,1,8,0,1,Adlercreutzia equolifaciens
Gordonibacter pamelaeae,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Collinsella
Bacteroides caccae,0,0,0,0,0,52,1,0,1,9,0,0,24,1,1,1,19,1,10,25,15,23,1,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,Gordonibacter
Bacteroides cellulosilyticus,0,0,0,0,0,0,7,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bacteroides caccae
Bacteroides clarus,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
Bacteroides dorei,0,0,0,0,0,0,0,0,22,0,0,0,1,1,4,0,3,0,0,3,4,11,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Bacteroides
Bacteroides eggerthii,0,0,0,0,0,0,0,0,0,37,0,1,28,0,1,1,21,1,12,23,24,21,0,2,0,0,1,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,Bacteroides dorei
Bacteroides faecis,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Bacteroides
Bacteroides finegoldii,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,3,0,0,4,1,3,1,2,0,0,0,3,0,0,0,0,0,1,7,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,Bacteroides
Bacteroides fragilis,0,0,0,0,0,0,0,0,0,0,0,0,5310,6,2,2,151,1,15,345,87,223,1,16,0,0,2,9,0,0,2,0,0,0,3,0,0,2,0,0,1,7,1,18,0,0,1,2,0,13,0,0,2,2,1,0,0,0,0,2,0,0,0,0,15,0,4,4,3,0,0,0,11,0,0,0,4,35,2,1410,4,7,Bacteroides
Bacteroides intestinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,3,0,0,4,4,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,12,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Bacteroides fragilis
Bacteroides massiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,2,2,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bacteroides
Bacteroides nordii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bacteroides
Bacteroides ovatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,14,146,66,113,8,3,0,0,1,4,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,3,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,9,0,35,0,2,Bacteroides
Bacteroides salyersiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
Bacteroides stercoris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11,14,14,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,Bacteroides
Bacteroides thetaiotaomicron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,70,165,9,6,0,0,2,6,0,0,2,0,0,1,1,0,0,0,0,0,0,2,1,8,1,0,3,1,0,8,0,1,5,3,0,1,0,0,1,4,1,3,1,0,11,3,2,4,2,0,0,0,4,0,0,0,0,9,1,147,1,2,Bacteroides
