species_name,Corynebacterium accolens,Corynebacterium propinquum,Corynebacterium pseudodiphtheriticum,Corynebacterium pseudogenitalium,Corynebacterium tuberculostearicum,Propionibacterium acnes,Propionibacterium avidum,Propionibacterium granulosum,Staphylococcus aureus,Staphylococcus epidermidis,Dolosigranulum pigrum,Propionibacterium phage,Dasheen mosaic,after Mapping
Corynebacterium accolens,19,4,5,2,2,0,0,0,3,1,0,0,0,species name
Corynebacterium propinquum,0,22,6,0,0,0,0,0,2,0,1,0,0,Corynebacterium
Corynebacterium pseudodiphtheriticum,0,0,112,1,1,0,1,0,11,1,0,0,0,Corynebacterium
Corynebacterium pseudogenitalium,0,0,0,11,2,0,1,0,0,0,0,0,0,Corynebacterium
Corynebacterium tuberculostearicum,0,0,0,0,20,1,1,0,1,3,0,0,0,Corynebacterium
Propionibacterium acnes,0,0,0,0,0,4460,51,95,363,313,0,31,0,Corynebacterium
Propionibacterium avidum,0,0,0,0,0,0,98,40,0,3,0,1,0,Propionibacterium acnes
Propionibacterium granulosum,0,0,0,0,0,0,0,159,8,14,0,2,0,Propionibacterium
Staphylococcus aureus,0,0,0,0,0,0,0,0,100000,5540,3,1,0,Propionibacterium
Staphylococcus epidermidis,0,0,0,0,0,0,0,0,0,12000,1,3,0,Staphylococcus aureus
Dolosigranulum pigrum,0,0,0,0,0,0,0,0,0,0,19,0,0,Staphylococcus epidermidis
Propionibacterium phage,0,0,0,0,0,0,0,0,0,0,0,40,0,Dolosigranulum pigrum
Dasheen mosaic,0,0,0,0,0,0,0,0,0,0,0,0,27,Propionibacterium
,,,,,,,,,,,,,,Dasheen
