microbiome1,microbiome2,association
Actinomyces naeslundii,Actinomyces viscosus,229
Actinomyces naeslundii,Corynebacterium matruchotii,5
Actinomyces naeslundii,Rothia dentocariosa,10
Actinomyces naeslundii,Rothia mucilaginosa,1
Actinomyces naeslundii,Propionibacterium acnes,12
Actinomyces naeslundii,Propionibacterium propionicum,1
Actinomyces naeslundii,Prevotella melaninogenica,12
Actinomyces naeslundii,Streptococcus cristatus,2
Actinomyces naeslundii,Streptococcus gordonii,70
Actinomyces naeslundii,Streptococcus mitis,64
Actinomyces naeslundii,Streptococcus parasanguinis,1
Actinomyces naeslundii,Streptococcus salivarius,42
Actinomyces naeslundii,Streptococcus sanguinis,165
Actinomyces naeslundii,Selenomonas noxia,6
Actinomyces naeslundii,Veillonella parvula,35
Actinomyces naeslundii,Fusobacterium nucleatum,106
Actinomyces naeslundii,Eikenella corrodens,17
Actinomyces naeslundii,Neisseria sicca,1
Actinomyces naeslundii,Neisseria subflava,3
Actinomyces naeslundii,Campylobacter concisus,7
Actinomyces naeslundii,Campylobacter showae,3
Actinomyces naeslundii,Aggregatibacter aphrophilus,1
Actinomyces naeslundii,Haemophilus influenzae,1
Actinomyces naeslundii,Haemophilus parainfluenzae,4
Actinomyces viscosus,Corynebacterium matruchotii,4
Actinomyces viscosus,Rothia dentocariosa,9
Actinomyces viscosus,Propionibacterium acnes,13
Actinomyces viscosus,Propionibacterium propionicum,1
Actinomyces viscosus,Prevotella melaninogenica,11
Actinomyces viscosus,Streptococcus gordonii,15
Actinomyces viscosus,Streptococcus mitis,55
Actinomyces viscosus,Streptococcus parasanguinis,1
Actinomyces viscosus,Streptococcus salivarius,54
Actinomyces viscosus,Streptococcus sanguinis,224
Actinomyces viscosus,Selenomonas noxia,3
Actinomyces viscosus,Veillonella parvula,11
Actinomyces viscosus,Fusobacterium nucleatum,75
Actinomyces viscosus,Eikenella corrodens,22
Actinomyces viscosus,Neisseria sicca,2
Actinomyces viscosus,Neisseria subflava,1
Actinomyces viscosus,Campylobacter concisus,2
Actinomyces viscosus,Campylobacter showae,3
Actinomyces viscosus,Haemophilus influenzae,1
Actinomyces viscosus,Haemophilus parainfluenzae,3
Corynebacterium matruchotii,Rothia dentocariosa,4
Corynebacterium matruchotii,Propionibacterium acnes,1
Corynebacterium matruchotii,Streptococcus cristatus,2
Corynebacterium matruchotii,Streptococcus gordonii,1
Corynebacterium matruchotii,Streptococcus mitis,2
Corynebacterium matruchotii,Streptococcus salivarius,1
Corynebacterium matruchotii,Streptococcus sanguinis,3
Corynebacterium matruchotii,Fusobacterium nucleatum,3
Corynebacterium matruchotii,Neisseria elongata,1
Corynebacterium matruchotii,Neisseria sicca,1
Rothia aeria,Rothia dentocariosa,2
Rothia aeria,Rothia mucilaginosa,3
Rothia aeria,Streptococcus mitis,1
Rothia dentocariosa,Rothia mucilaginosa,8
Rothia dentocariosa,Propionibacterium acnes,1
Rothia dentocariosa,Propionibacterium propionicum,1
Rothia dentocariosa,Gemella sanguinis,1
Rothia dentocariosa,Granulicatella adiacens,2
Rothia dentocariosa,Streptococcus gordonii,2
Rothia dentocariosa,Streptococcus mitis,3
Rothia dentocariosa,Streptococcus parasanguinis,1
Rothia dentocariosa,Streptococcus salivarius,3
Rothia dentocariosa,Streptococcus sanguinis,6
Rothia dentocariosa,Streptococcus vestibularis,1
Rothia dentocariosa,Selenomonas noxia,1
Rothia dentocariosa,Veillonella parvula,3
Rothia dentocariosa,Fusobacterium nucleatum,3
Rothia dentocariosa,Lautropia mirabilis,2
Rothia dentocariosa,Eikenella corrodens,3
Rothia dentocariosa,Neisseria elongata,1
Rothia dentocariosa,Neisseria meningitidis,1
Rothia dentocariosa,Cardiobacterium hominis,2
Rothia dentocariosa,Haemophilus parainfluenzae,2
Rothia mucilaginosa,Propionibacterium propionicum,1
Rothia mucilaginosa,Prevotella melaninogenica,1
Rothia mucilaginosa,Granulicatella adiacens,1
Rothia mucilaginosa,Streptococcus mitis,4
Rothia mucilaginosa,Streptococcus salivarius,2
Rothia mucilaginosa,Streptococcus sanguinis,2
Rothia mucilaginosa,Selenomonas noxia,1
Rothia mucilaginosa,Veillonella parvula,1
Rothia mucilaginosa,Lautropia mirabilis,1
Rothia mucilaginosa,Eikenella corrodens,1
Rothia mucilaginosa,Neisseria elongata,1
Rothia mucilaginosa,Neisseria flavescens,1
Rothia mucilaginosa,Neisseria subflava,1
Rothia mucilaginosa,Cardiobacterium hominis,1
Rothia mucilaginosa,Haemophilus parainfluenzae,2
Propionibacterium acnes,Propionibacterium propionicum,4
Propionibacterium acnes,Prevotella melaninogenica,13
Propionibacterium acnes,Streptococcus gordonii,4
Propionibacterium acnes,Streptococcus mitis,18
Propionibacterium acnes,Streptococcus salivarius,8
Propionibacterium acnes,Streptococcus sanguinis,23
Propionibacterium acnes,Selenomonas noxia,3
Propionibacterium acnes,Veillonella parvula,11
Propionibacterium acnes,Fusobacterium nucleatum,48
Propionibacterium acnes,Eikenella corrodens,7
Propionibacterium acnes,Neisseria meningitidis,1
Propionibacterium acnes,Campylobacter concisus,1
Propionibacterium acnes,Haemophilus haemolyticus,1
Propionibacterium acnes,Haemophilus influenzae,35
Propionibacterium acnes,Haemophilus parainfluenzae,1
Propionibacterium propionicum,Prevotella melaninogenica,1
Propionibacterium propionicum,Granulicatella adiacens,1
Propionibacterium propionicum,Streptococcus mitis,1
Propionibacterium propionicum,Streptococcus sanguinis,2
Propionibacterium propionicum,Selenomonas noxia,1
Propionibacterium propionicum,Fusobacterium nucleatum,1
Propionibacterium propionicum,Lautropia mirabilis,1
Propionibacterium propionicum,Eikenella corrodens,1
Propionibacterium propionicum,Cardiobacterium hominis,1
Propionibacterium propionicum,Haemophilus parainfluenzae,1
Porphyromonas catoniae,Prevotella melaninogenica,2
Porphyromonas catoniae,Fusobacterium nucleatum,3
Porphyromonas catoniae,Neisseria flavescens,1
Porphyromonas catoniae,Campylobacter showae,1
Alloprevotella tannerae,Prevotella melaninogenica,1
Prevotella melaninogenica,Granulicatella adiacens,1
Prevotella melaninogenica,Streptococcus gordonii,2
Prevotella melaninogenica,Streptococcus mitis,19
Prevotella melaninogenica,Streptococcus salivarius,5
Prevotella melaninogenica,Streptococcus sanguinis,26
Prevotella melaninogenica,Selenomonas noxia,3
Prevotella melaninogenica,Veillonella parvula,21
Prevotella melaninogenica,Fusobacterium nucleatum,75
Prevotella melaninogenica,Eikenella corrodens,28
Prevotella melaninogenica,Neisseria cinerea,1
Prevotella melaninogenica,Neisseria meningitidis,1
Prevotella melaninogenica,Neisseria sicca,1
Prevotella melaninogenica,Neisseria subflava,1
Prevotella melaninogenica,Campylobacter concisus,2
Prevotella melaninogenica,Campylobacter showae,1
Prevotella melaninogenica,Aggregatibacter segnis,1
Prevotella melaninogenica,Haemophilus influenzae,19
Prevotella melaninogenica,Haemophilus parainfluenzae,3
Gemella sanguinis,Granulicatella adiacens,2
Gemella sanguinis,Streptococcus cristatus,1
Gemella sanguinis,Streptococcus gordonii,2
Gemella sanguinis,Streptococcus mitis,4
Gemella sanguinis,Streptococcus parasanguinis,2
